Prospect ID,Lead Source,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Tags,Lead Quality,Lead Profile,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,Direct Traffic,1,2,1532,2,Email Opened,India,Business Administration,Select,Student,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,02.Medium,01.High,14,20
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,Direct Traffic,0,1,305,1,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,01.High,13,17
3256f628-e534-4826-9d63-4a8b88782852,Google,1,2,1428,1,Converted to Lead,India,Select,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,01.High,15,18
9fae7df4-169d-489b-afe4-0f3d752542ed,Google,1,2,1640,2,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,02.Medium,01.High,14,20
2a369e35-ca95-4ca9-9e4f-9d27175aa320,Organic Search,1,8,1351,8,Email Opened,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,15,14
8bf76a52-2478-476b-8618-1688e07874ad,Organic Search,1,11,1538,11,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,01.High,02.Medium,16,16
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,Organic Search,1,6,1012,6,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,14,15
e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,Referral Sites,0,6,973,6,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Might be,Select,02.Medium,02.Medium,13,13
4512c16a-e96a-4459-b9ec-c7d8fe8c4880,Organic Search,0,3,98,3,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Worst,Select,02.Medium,02.Medium,14,15
c4419c99-b002-408b-a6fd-fa100716592c,Google,0,1,233,1,Unreachable,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,Interested in other courses,Not Sure,Select,02.Medium,01.High,13,17
fd71ab5b-53b8-4105-9960-efedc44962fa,Google,0,4,377,1.33,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,In confusion whether part time or DLP,Worst,Potential Lead,02.Medium,02.Medium,15,16
8fd38b83-5c32-4277-bcfb-499f34a01c56,Google,1,1,1013,1,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,02.Medium,01.High,15,20
ecbc6e69-29a9-44bf-804a-13079ef301bc,Google,0,4,771,4,Email Link Clicked,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,01.High,14,18
ecd117ca-375f-49ea-afd6-b52b84d00c69,Google,1,6,1137,1.5,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,14,18
31c326f0-4a9b-43a6-9006-99d3830fbcae,Google,1,3,1068,3,Form Submitted on Website,India,Travel and Tourism,Other,Unemployed,Better Career Prospects,Busy,Not Sure,Select,02.Medium,02.Medium,14,16
c494aca4-8c8e-4081-9784-41eb6346015e,Organic Search,1,4,1000,2,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,03.Low,01.High,11,18
6d143c0e-abae-425f-a2c0-52c2946cbd45,Google,1,6,1315,6,Email Opened,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,15,19
b3455e2e-8236-478a-b1aa-666ad3381722,Google,1,3,78,3,Unreachable,India,International Business,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,01.High,01.High,16,18
da8c5ce5-52b5-4a4e-bf75-e533d2aca52c,Direct Traffic,1,7,1174,3.5,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,01.High,15,18
d2055a36-b268-43a0-beeb-9a715f6a660d,Google,0,3,88,1.5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Not Sure,Select,02.Medium,02.Medium,13,15
c7d82991-3477-40ca-a616-db2d09228a55,Referral Sites,0,4,223,2,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Low in Relevance,Select,02.Medium,02.Medium,15,13
bc19e116-132c-4e00-a3fa-caa1ddda2f4e,Organic Search,1,4,16,2,Page Visited on Website,India,E-COMMERCE,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,02.Medium,01.High,15,17
30422ea1-36fe-465e-9e68-41ee190fefb3,Referral Sites,1,3,98,3,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,02.Medium,14,15
a8ecfc52-9988-498a-9a21-df747891b847,Google,0,4,1622,4,Unreachable,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Might be,Select,03.Low,01.High,12,18
e60a54bc-0816-430e-a99a-019a8b5a27e5,Google,1,5,563,5,Email Opened,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,02.Medium,01.High,13,20
e50b7515-b5a5-4691-a450-5e28ba99b472,Google,0,2,310,2,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,02.Medium,14,15
d6686032-c65e-4495-a0f4-ba7471209356,Google,1,4,25,4,Email Opened,India,Operations Management,Email,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,14,19
3ec75559-60f8-46f0-9198-bd3d05c464aa,Organic Search,0,7,38,7,Unsubscribed,India,Retail Management,Word Of Mouth,Unemployed,Better Career Prospects,Busy,Not Sure,Other Leads,02.Medium,01.High,13,18
fd31b6df-f961-43ba-8e81-618ce5aabfe5,Google,0,4,287,2,Email Opened,India,Marketing Management,Other,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,01.High,13,18
18633077-5162-4cc6-8728-bc25f7a32fd1,Direct Traffic,0,2,547,2,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Already a student,High in Relevance,Potential Lead,02.Medium,01.High,15,20
86681269-67b1-4909-90c0-216136535815,Google,0,6,1225,6,Page Visited on Website,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Diploma holder (Not Eligible),Worst,Other Leads,03.Low,02.Medium,12,15
8597dacd-0b33-4b4f-ad9e-a9df020afd48,Organic Search,0,6,394,2,Unreachable,India,E-COMMERCE,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,02.Medium,02.Medium,13,15
59e722da-edff-43d9-af61-f5c8bcc986c4,Referral Sites,1,13,436,13,Form Submitted on Website,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,Busy,Low in Relevance,Potential Lead,02.Medium,02.Medium,15,13
171defdc-6c7b-4486-9a3b-527de447d2d5,Referral Sites,1,8,903,8,Page Visited on Website,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,01.High,02.Medium,16,15
d22bfe40-a444-4e97-b6b7-ccf40117710b,Referral Sites,0,11,685,5.5,Email Opened,India,Services Excellence,Select,Unemployed,Better Career Prospects,Graduation in progress,Not Sure,Select,03.Low,02.Medium,11,13
b90b70b9-5e60-41a5-87da-5eb753fc3391,Google,0,4,213,4,Form Submitted on Website,India,International Business,Multiple Sources,Unemployed,Better Career Prospects,Interested in other courses,Not Sure,Other Leads,02.Medium,02.Medium,13,16
0327a12a-51cb-4782-a029-cc824e614833,Organic Search,1,7,1468,3.5,Page Visited on Website,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,15,18
3ee81e25-e280-428d-94a8-af0178917bf5,Direct Traffic,1,4,1435,4,Email Opened,India,Operations Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,03.Low,01.High,12,18
a66b2a39-2f12-4eb4-b6e3-065d88ccf980,Google,1,1,157,1,Converted to Lead,India,Hospitality Management,Word Of Mouth,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,02.Medium,15,14
ee859f2e-a35f-4d2e-980e-8163da8ca667,Google,1,3,885,1.5,Had a Phone Conversation,India,Operations Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,15,18
671f2615-8210-4792-abdd-a1588060cd27,Direct Traffic,0,1,1710,1,Converted to Lead,India,Retail Management,Select,Unemployed,Better Career Prospects,Already a student,Worst,Potential Lead,01.High,01.High,16,19
fe6dff62-8217-428b-876a-ec931f251f63,Referral Sites,0,3,111,3,Email Bounced,India,International Business,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,02.Medium,02.Medium,13,15
f8497fef-9593-4bb7-898c-9f736a3b67f8,Organic Search,0,6,224,6,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,switched off,Not Sure,Select,02.Medium,02.Medium,14,15
0a943ad9-f3d5-46d7-aca0-3fdab53da0e7,Direct Traffic,1,2,1071,2,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Lost to EINS,Not Sure,Select,03.Low,01.High,12,17
a739f33a-7d4d-4c4e-9c9c-3c30e1f48940,Google,1,6,595,3,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,02.Medium,01.High,14,20
d4d4ee0a-fea2-4680-b2ea-b24de9fcf0be,Google,0,2,393,2,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Other Leads,02.Medium,02.Medium,14,14
ecbf9b02-90a1-4b16-b330-6d958dcfcdb2,Google,1,3,1136,3,Page Visited on Website,India,IT Projects Management,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,01.High,02.Medium,16,15
076801dc-eba3-4c64-b165-dda70397aa19,Direct Traffic,0,3,536,3,Unreachable,India,Finance Management,Select,Unemployed,Better Career Prospects,number not provided,Not Sure,Select,03.Low,01.High,9,18
62b4ee1c-1071-42bb-b50d-16412c2acce2,Direct Traffic,0,4,161,2,Unreachable,India,Marketing Management,Select,Unemployed,Better Career Prospects,Busy,Not Sure,Select,03.Low,01.High,12,17
bc35eede-4208-461c-827e-11108a378df7,Google,1,5,1110,5,Olark Chat Conversation,India,Human Resource Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,01.High,02.Medium,16,16
35d515d8-e851-4629-803e-492c6b576bd6,Direct Traffic,1,5,1563,5,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,02.Medium,01.High,15,20
2b742281-ef6f-49ad-8a44-b3a21c60b945,Organic Search,1,6,895,6,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Dual Specialization Student,02.Medium,01.High,14,18
67bc9f1f-53c0-49be-96f9-1d549f0a8717,Google,1,4,1190,4,Email Opened,India,Human Resource Management,Multiple Sources,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,02.Medium,01.High,13,18
1de92462-5b3f-401e-b84f-935bb92898f9,Google,1,5,727,5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Dual Specialization Student,02.Medium,02.Medium,14,15
